"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"LSAO";;;
2;"J1";"Pin_Header_Straight_2x02_Pitch2.54mm";1;"SAO";;;
3;"G***,G***,G***";"LOGO";3;"LOGO";;;
4;"D2,D1,D4,D3";"LED_0805_HandSoldering";4;"BL";;;
5;"SW1";"SW_SPST_B3SL-1002P";1;"RESET";;;
6;"U2";"Nokia_5110-3310_LCD";1;"Nokia_5110_LCD";;;
7;"IC1";"QFN50P300X300X80-21N-D";1;"Si4455-B1A-FM";;;
8;"U1";"QFP80P900X900X120-32N";1;"ATMEGA328P-AU";;;
9;"C0,C1,C2,C3,C4,CM1,CM2,CM3,CR1,CR2";"C_0805_HandSoldering";10;" ";;;
10;"D5";"D_SOD-323_HandSoldering";1;"1N4148";;;
11;"L0,Lchoke1,LM1,LM2,LR1,LR2";"L_0805_HandSoldering";6;" ";;;
12;"R1,R4";"R_0805_HandSoldering";2;" 1M";;;
13;"R2,R5,R6,R7";"R_0805_HandSoldering";4;"LR";;;
14;"R3";"R_0805_HandSoldering";1;" 1K";;;
15;"ROC1";"R_0805_HandSoldering";1;" ";;;
16;"Y2";"Crystal_SMD_TXC_7M-4pin_3.2x2.5mm_HandSoldering";1;"30Mhz";;;
17;"Y1";"Crystal_SMD_TXC_7M-4pin_3.2x2.5mm_HandSoldering";1;"16Mhz";;;
18;"BT1";"Keystone_1058_1x2032-CoinCell";1;"Battery_Cell";;;
19;"AE1";"ti-dn023-antenna";1;"Antenna_Dipole";;;
