"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"IC1";"SILICON_LABS_SI4455-B1A-FM_0";1;"Si4455-B1A-FM";;;
2;"J2";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"LSAO";;;
3;"J1";"Pin_Header_Straight_2x02_Pitch2.54mm";1;"SAO";;;
4;"G***,G***,G***";"LOGO";3;"LOGO";;;
5;"D2,D1";"LED_0805_HandSoldering";2;"BL";;;
6;"SW1";"SW_SPST_B3SL-1002P";1;"RESET";;;
7;"U2";"Nokia_5110-3310_LCD";1;"Nokia_5110_LCD";;;
8;"U1";"QFP80P900X900X120-32N";1;"ATMEGA328P-AU";;;
9;"C0,C1,C2,C3,C4,CM1,CM2,CM3,CR1,CR2";"C_0805_HandSoldering";10;" ";;;
10;"L0,Lchoke1,LM1,LM2,LR1,LR2";"L_0805_HandSoldering";6;" ";;;
11;"R1,R4";"R_0805_HandSoldering";2;" 1M";;;
12;"R2,R5";"R_0805_HandSoldering";2;"LR";;;
13;"R3";"R_0805_HandSoldering";1;" 1K";;;
14;"ROC1";"R_0805_HandSoldering";1;" ";;;
15;"Y2";"Crystal_SMD_TXC_7M-4pin_3.2x2.5mm_HandSoldering";1;"30Mhz";;;
16;"Y1";"Crystal_SMD_TXC_7M-4pin_3.2x2.5mm_HandSoldering";1;"16Mhz";;;
17;"AE1";"ti-dn023-antenna";1;"Antenna_Dipole";;;
18;"BT1";"keystone_3008";1;"CR2450";;;
19;"D5";"D_SOD-123";1;"1N4148";;;
